;17 Сентябрь 2013 г.;138,83;13,883;1138,83;;
;18 Сентябрь 2013 г.;139,57;13,957;1139,57;;
;19 Сентябрь 2013 г.;140,31;14,031;1140,31;;
;20 Сентябрь 2013 г.;141,05;14,105;1141,05;;
;21 Сентябрь 2013 г.;141,79;14,179;1141,79;;
;22 Сентябрь 2013 г.;142,54;14,254;1142,54;;
;23 Сентябрь 2013 г.;143,28;14,328;1143,28;;
;24 Сентябрь 2013 г.;144,02;14,402;1144,02;;
;25 Сентябрь 2013 г.;144,77;14,477;1144,77;;
;26 Сентябрь 2013 г.;145,51;14,551;1145,51;;
;27 Сентябрь 2013 г.;146,25;14,625;1146,25;;
;28 Сентябрь 2013 г.;147,00;14,700;1147,00;;
;29 Сентябрь 2013 г.;147,75;14,775;1147,75;;
;30 Сентябрь 2013 г.;148,49;14,849;1148,49;;
;01 Октябрь 2013 г.;149,24;14,924;1149,24;;
;02 Октябрь 2013 г.;149,99;14,999;1149,99;;
;03 Октябрь 2013 г.;150,73;15,073;1150,73;;
;04 Октябрь 2013 г.;151,48;15,148;1151,48;;
;05 Октябрь 2013 г.;152,23;15,223;1152,23;;
;06 Октябрь 2013 г.;152,98;15,298;1152,98;;
;07 Октябрь 2013 г.;153,73;15,373;1153,73;;
;08 Октябрь 2013 г.;154,48;15,448;1154,48;;
;09 Октябрь 2013 г.;155,23;15,523;1155,23;;
;10 Октябрь 2013 г.;155,98;15,598;1155,98;;
;11 Октябрь 2013 г.;156,73;15,673;1156,73;;
;12 Октябрь 2013 г.;157,49;15,749;1157,49;;
;13 Октябрь 2013 г.;158,24;15,824;1158,24;;
;14 Октябрь 2013 г.;158,99;15,899;1158,99;;
;15 Октябрь 2013 г.;159,74;15,974;1159,74;;
;16 Октябрь 2013 г.;160,50;16,050;1160,50;;
;17 Октябрь 2013 г.;161,25;16,125;1161,25;;
;18 Октябрь 2013 г.;162,01;16,201;1162,01;;
;19 Октябрь 2013 г.;162,76;16,276;1162,76;;
;20 Октябрь 2013 г.;163,52;16,352;1163,52;;
;21 Октябрь 2013 г.;164,28;16,428;1164,28;;
;22 Октябрь 2013 г.;165,03;16,503;1165,03;;
;23 Октябрь 2013 г.;165,79;16,579;1165,79;;
;24 Октябрь 2013 г.;166,55;16,655;1166,55;;
;25 Октябрь 2013 г.;167,31;16,731;1167,31;;
;26 Октябрь 2013 г.;168,07;16,807;1168,07;;
;27 Октябрь 2013 г.;168,83;16,883;1168,83;;
;28 Октябрь 2013 г.;169,59;16,959;1169,59;;
;29 Октябрь 2013 г.;170,35;17,035;1170,35;;
;30 Октябрь 2013 г.;171,11;17,111;1171,11;;
;31 Октябрь 2013 г.;171,87;17,187;1171,87;;
;01 Ноябрь 2013 г.;172,63;17,263;1172,63;;
;02 Ноябрь 2013 г.;173,39;17,339;1173,39;;
;03 Ноябрь 2013 г.;174,16;17,416;1174,16;;
;04 Ноябрь 2013 г.;174,92;17,492;1174,92;;
;05 Ноябрь 2013 г.;175,68;17,568;1175,68;;
;06 Ноябрь 2013 г.;176,45;17,645;1176,45;;
;07 Ноябрь 2013 г.;177,21;17,721;1177,21;;
;08 Ноябрь 2013 г.;177,98;17,798;1177,98;;
;09 Ноябрь 2013 г.;178,74;17,874;1178,74;;
;10 Ноябрь 2013 г.;179,51;17,951;1179,51;;
;11 Ноябрь 2013 г.;180,28;18,028;1180,28;;
;12 Ноябрь 2013 г.;181,05;18,105;1181,05;;
;13 Ноябрь 2013 г.;181,81;18,181;1181,81;;
;14 Ноябрь 2013 г.;182,58;18,258;1182,58;;
;15 Ноябрь 2013 г.;183,35;18,335;1183,35;;
;16 Ноябрь 2013 г.;184,12;18,412;1184,12;;
;17 Ноябрь 2013 г.;184,89;18,489;1184,89;;
;18 Ноябрь 2013 г.;185,66;18,566;1185,66;;
;19 Ноябрь 2013 г.;186,43;18,643;1186,43;;
;20 Ноябрь 2013 г.;187,20;18,720;1187,20;;
;21 Ноябрь 2013 г.;187,97;18,797;1187,97;;
;22 Ноябрь 2013 г.;188,75;18,875;1188,75;;
;23 Ноябрь 2013 г.;189,52;18,952;1189,52;;
;24 Ноябрь 2013 г.;190,29;19,029;1190,29;;
;25 Ноябрь 2013 г.;191,07;19,107;1191,07;;
;26 Ноябрь 2013 г.;191,84;19,184;1191,84;;
;27 Ноябрь 2013 г.;192,62;19,262;1192,62;;
;28 Ноябрь 2013 г.;193,39;19,339;1193,39;;
;29 Ноябрь 2013 г.;194,17;19,417;1194,17;;
;30 Ноябрь 2013 г.;194,94;19,494;1194,94;;
;01 Декабрь 2013 г.;195,72;19,572;1195,72;;
;02 Декабрь 2013 г.;196,50;19,650;1196,50;;
;03 Декабрь 2013 г.;197,28;19,728;1197,28;;
;04 Декабрь 2013 г.;198,06;19,806;1198,06;;
;05 Декабрь 2013 г.;198,83;19,883;1198,83;;
;06 Декабрь 2013 г.;199,61;19,961;1199,61;;
;07 Декабрь 2013 г.;200,39;20,039;1200,39;;
;08 Декабрь 2013 г.;201,17;20,117;1201,17;;
;09 Декабрь 2013 г.;201,96;20,196;1201,96;;
;10 Декабрь 2013 г.;202,74;20,274;1202,74;;
;11 Декабрь 2013 г.;203,52;20,352;1203,52;;
;12 Декабрь 2013 г.;204,30;20,430;1204,30;;
;13 Декабрь 2013 г.;205,08;20,508;1205,08;;
;14 Декабрь 2013 г.;205,87;20,587;1205,87;;
;15 Декабрь 2013 г.;206,65;20,665;1206,65;;
;16 Декабрь 2013 г.;207,44;20,744;1207,44;;
;17 Декабрь 2013 г.;208,22;20,822;1208,22;;
;18 Декабрь 2013 г.;209,01;20,901;1209,01;;
;19 Декабрь 2013 г.;209,79;20,979;1209,79;;
;20 Декабрь 2013 г.;210,58;21,058;1210,58;;
